node,degree,strength,entropy,entropy_norm,kappa,C_ent,valence_centered,arousal_raw,dominance_raw,x,y,radius,embedding_engine,n_local,local_edges,mean_degree_local,eta_local_raw,node_index,log_degree_raw,feature_kappa,feature_entropy_norm,feature_c_ent,feature_valence,feature_poincare_x,feature_poincare_y,feature_log_degree,feature_eta_local
brain,4,0.730909090909091,1.2220978393095192,0.8815572461264803,-0.30208325,-0.03577957202906291,0.3049999999999999,3.35,6.28,0.6378419920737951,-0.47702307340991873,0.796488179082472,gensim_poincare,5,5,2.0,0.8,49,1.3862943611198906,-0.30208325,0.8815572,-0.071559146,0.305,0.637842,-0.47702307,0.080952615,-0.5057113
brave,3,0.255102040816327,1.0768186672148101,0.9801625908629504,-0.30555566666666667,-0.006061432773810605,0.595,4.95,6.84,0.5784361414763554,-0.1407354440231527,0.5953107045656479,gensim_poincare,4,3,1.5,0.5625,50,1.0986122886681098,-0.30555567,0.9801626,-0.012122866,0.595,0.57843614,-0.14073545,-0.14336532,-0.75233644
bread,2,0.301616161616162,0.6905768420315246,0.9962917853516416,0.1403845,0.0005205758593024634,0.3799999999999999,3.85,6.05,0.7503068131477734,0.2725017162018587,0.7982590426602921,gensim_poincare,3,3,2.0,1.3333333333333333,51,0.6931471805599453,0.1403845,0.99629176,0.0010411517,0.38,0.7503068,0.2725017,-0.45952368,0.048113532
breakfast,2,0.1938775510204085,0.6806294878916632,0.9819407868640974,-0.06730749999999999,-0.001215520488144767,0.5974999999999999,5.0,6.83,0.7490483201333892,0.35769221618007274,0.8300705436349758,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,52,0.6931471805599453,-0.0673075,0.9819408,-0.0024310409,0.5975,0.7490483,0.3576922,-0.45952368,-0.72108763
bright,5,1.091212121212121,1.4149670802153533,0.8791684781896116,-0.195,-0.02356214675302573,0.4599999999999999,5.0,6.38,0.42304805825201564,0.3688627577144309,0.5612747933227501,gensim_poincare,6,8,2.6666666666666665,1.1851851851851851,53,1.6094379124341003,-0.195,0.87916845,-0.047124293,0.46,0.42304805,0.36886275,0.25494713,-0.105726704
broken,2,0.2436738519212745,0.6892671506156148,0.9944023000408138,0.0833335,0.00046647592954884674,-0.5625,4.86,3.76,-0.49590815340051153,0.6451860801898036,0.81375056047894,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,54,0.6931471805599453,0.0833335,0.9944023,0.00093295187,-0.5625,-0.49590814,0.64518607,-0.45952368,-0.72108763
bug,2,0.7569696969696971,0.2769666688732042,0.39957843967490736,0.2833335,0.17011954216236966,-0.3874999999999999,6.06,4.08,-0.3700665296092696,0.5193108207248718,0.6376777907838631,gensim_poincare,3,3,2.0,1.3333333333333333,55,0.6931471805599453,0.2833335,0.39957845,0.34023908,-0.3875,-0.37006652,0.51931083,-0.45952368,0.048113532
building,2,0.16999999999999998,0.6914160776171183,0.9975025463691153,-0.3125,-0.0007804542596514738,0.1174999999999999,3.35,6.0,-0.482909961957378,0.06415236789051093,0.4871524993917569,gensim_poincare,3,2,1.3333333333333333,0.5925925925925926,56,0.6931471805599453,-0.3125,0.99750257,-0.0015609085,0.1175,-0.48290995,0.06415237,-0.45952368,-0.72108763
business,3,0.2707070707070707,1.0827031972806977,0.9855189209591864,-0.240741,-0.0034861894493645163,0.1200000000000001,3.71,5.35,0.25169651037986,-0.12141649303263174,0.2794514235385859,gensim_poincare,4,4,2.0,1.0,57,1.0986122886681098,-0.240741,0.98551893,-0.006972379,0.12,0.2516965,-0.121416494,-0.14336532,-0.298027
buy,3,0.31232323232323267,1.0260872809841541,0.9339848930946508,0.009259333333333323,0.0006112558798722624,0.455,4.29,6.78,0.6954253618583174,-0.06516962292565132,0.698472271223449,gensim_poincare,4,4,2.0,1.0,58,1.0986122886681098,0.009259333,0.9339849,0.0012225118,0.455,0.6954254,-0.065169625,-0.14336532,-0.298027
