Responses,Types_R1,Tokens_R1,Hapax_R1,Types_R123,Tokens_R123,Hapax_R123
不想写,3,4,2,6,8,4
拖延症,16,26,14,55,86,44
功课,5,8,3,16,25,12
写不完,2,2,2,6,6,6
施工,14,23,9,38,58,27
寒暑假,1,1,1,5,5,5
草稿纸,3,5,2,12,15,11
田字格,3,3,3,6,6,6
没写,1,1,1,1,1,1
习题,2,2,2,10,14,8
交作业,5,5,5,12,16,9
练习册,3,4,2,15,17,13
横线,8,9,7,21,28,18
绿皮,4,6,3,8,12,6
大有作为,1,2,0,1,2,0
陈作为,1,1,1,1,1,1
不作为,4,8,3,17,23,15
有所作为,1,4,0,2,6,1
好的作为,1,1,1,1,1,1
坐位,1,1,1,2,2,2
有所为,1,1,1,1,1,1
毫无作为,1,1,1,1,2,0
有责任,1,1,1,1,1,1
年少,9,11,8,26,37,20
成为,4,7,1,12,20,9
视为,1,1,1,1,2,0
官僚,21,25,18,47,55,43
出息,1,2,0,4,5,3
作用,25,39,19,62,97,50
所作所为,1,1,1,1,3,0
精力,24,76,16,59,169,43
杰作,4,4,4,7,7,7
解忧杂货店,1,1,1,3,3,3
目录,13,18,10,28,48,19
作家,37,67,27,96,183,68
珍贵,35,59,22,99,197,65
原创,3,3,3,8,10,6
演技,10,33,6,35,76,27
作品集,1,1,1,2,2,2
著作,9,12,7,22,33,16
画作,14,19,12,36,54,25
蒋方舟,1,1,1,1,1,1
韩寒,3,10,1,15,32,10
写书,3,3,3,5,5,5
出版物,1,1,1,3,3,3
莫言,4,8,2,15,23,12
陈忠实,1,1,1,2,2,2
飞翔,39,86,22,104,211,69
大风,21,26,18,48,73,35
协会,9,21,6,18,39,13
普希金,4,4,4,6,7,5
小说家,2,2,2,6,7,5
斯文,5,21,4,13,31,11
画家,35,95,20,54,180,31
岸部真明,1,1,1,1,1,1
毕加索,17,27,10,30,57,20
剽窃,4,4,4,8,9,7
有益无害,1,1,1,1,1,1
小抄,3,6,1,4,13,2
考试试卷,1,1,1,2,2,2
纸条,9,11,8,21,34,15
处分,7,22,3,20,46,14
舞弊,1,1,1,2,2,2
处罚,15,26,5,45,77,29
过分,18,21,16,65,82,55
科举舞弊,1,1,1,1,1,1
偷摸,2,2,2,3,3,3
被抓,4,4,4,8,8,8
